2021/03/01 22:00:00;100
2021/03/01 22:00:00;90
2021/03/01 22:00:00;1
2021/03/01 22:00:00;1
2021/03/01 22:00:00;100
2021/03/01 22:00:00;20
2021/03/01 22:00:00;100
2021/03/25 00:31;42
2021/03/25 00:31;99
2021/03/25 00:31;20
2021/03/01 22:00:00; 90
2021/03/01 22:00:00;100
2022-05-17 16:23:53;56.11
2022-05-17 16:23:59;86.71
2022-05-17 16:24:04;83.97
2022-05-17 16:24:09;52.20
2022-05-17 16:24:15;30.60
2022-05-17 16:24:20;12.90
2022-05-17 16:24:25;20.04
2022-05-17 16:24:31;25.51
2022-05-17 16:24:36;33.72
2022-05-17 16:24:41;52.20
2022-05-17 16:24:46;86.71
2022-05-17 16:24:52;89.05
2022-05-17 16:24:57;57.28
2022-05-17 16:25:02;25.51
2022-05-17 16:25:08;12.90
2022-05-17 16:25:13;18.87
2022-05-17 16:25:18;24.34
2022-05-17 16:25:23;33.72
2022-05-17 16:25:29;52.20
2022-05-17 16:25:34;79.96
2022-05-17 16:25:39;83.97
2022-05-17 16:25:45;62.76
2022-05-17 16:25:50;30.60
2022-05-17 16:25:55;12.12
2022-05-17 16:26:01;18.87
2022-05-17 16:26:06;25.51
2022-05-17 16:26:12;33.72
2022-05-17 16:26:17;56.11
2022-05-17 16:26:22;79.96
2022-05-17 16:26:28;83.97
2022-05-17 16:26:33;52.20
2022-05-17 16:26:38;30.60
2022-05-17 16:26:44;12.90
2022-05-17 16:26:49;18.87
2022-05-17 16:26:54;25.51
2022-05-17 16:27:00;37.24
2022-05-17 16:27:05;52.20
2022-05-17 16:27:11;86.71
2022-05-17 16:27:16;83.97
2022-05-17 16:27:21;52.20
2022-05-17 16:27:26;30.60
2022-05-17 16:27:32;12.90
2022-05-17 16:27:37;20.04
2022-05-17 16:27:42;24.34
2022-05-17 16:27:48;33.72
2022-05-17 16:27:53;52.20
2022-05-17 16:27:58;86.71
2022-05-17 16:28:03;89.05
2022-05-17 16:28:09;57.28
2022-05-17 16:28:14;25.51
2022-05-17 16:28:19;12.12
2022-05-17 16:28:25;18.87
2022-05-17 16:28:30;24.34
2022-05-17 16:28:35;33.72
2022-05-17 16:28:41;48.58
2022-05-17 16:28:46;79.96
2022-05-17 16:28:51;83.97
2022-05-17 16:28:57;62.76
2022-05-17 16:29:02;30.60
2022-05-17 16:29:07;12.12
2022-05-17 16:29:13;18.87
2022-05-17 16:29:18;25.51
2022-05-17 16:29:23;29.81
2022-05-17 16:29:28;52.20
2022-05-17 16:29:34;79.96
2022-05-17 16:29:39;89.05
2022-05-17 16:29:44;62.76
2022-05-17 16:29:50;30.60
2022-05-17 16:29:55;12.90
2022-05-17 16:30:00;17.69
2022-05-17 16:30:06;24.34
2022-05-17 16:30:11;29.81
